Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6937
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.41
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.99
60.00,24.98
90.00,24.98
120.00,24.99
150.00,24.98
180.00,24.99
210.00,25.00
240.00,24.97
270.00,24.99
300.00,24.99
330.00,25.53
360.00,26.32
390.00,26.90
420.00,27.28
450.00,27.47
480.00,27.57
510.00,27.60
540.00,27.64
570.00,27.66
600.00,27.65
630.00,27.66
660.00,27.67
690.00,27.64
720.00,27.63
750.00,27.65
780.00,27.65
810.00,27.66
840.00,27.64
870.00,27.64
900.00,27.64
930.00,27.63
960.00,27.63
