Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6937
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),23.11
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.011
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.99
60.00,25.02
90.00,25.00
120.00,24.99
150.00,25.01
180.00,25.01
210.00,25.00
240.00,24.99
270.00,24.98
300.00,24.99
330.00,25.75
360.00,26.84
390.00,27.66
420.00,28.17
450.00,28.43
480.00,28.55
510.00,28.65
540.00,28.66
570.00,28.68
600.00,28.71
630.00,28.70
660.00,28.71
690.00,28.69
720.00,28.72
750.00,28.72
780.00,28.69
810.00,28.71
840.00,28.71
870.00,28.68
900.00,28.70
930.00,28.69
960.00,28.69
