Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6937
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),25.75
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.99
60.00,25.01
90.00,24.98
120.00,24.99
150.00,25.00
180.00,24.98
210.00,24.98
240.00,25.01
270.00,24.98
300.00,24.98
330.00,25.84
360.00,27.05
390.00,27.94
420.00,28.48
450.00,28.75
480.00,28.90
510.00,29.00
540.00,29.04
570.00,29.07
600.00,29.06
630.00,29.10
660.00,29.08
690.00,29.09
720.00,29.08
750.00,29.08
780.00,29.06
810.00,29.06
840.00,29.08
870.00,29.08
900.00,29.08
930.00,29.08
960.00,29.08
