Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6937
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),23.90
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.01
60.00,25.00
90.00,25.02
120.00,24.99
150.00,24.99
180.00,24.98
210.00,24.98
240.00,25.01
270.00,25.01
300.00,25.02
330.00,25.35
360.00,25.85
390.00,26.20
420.00,26.40
450.00,26.55
480.00,26.61
510.00,26.62
540.00,26.65
570.00,26.66
600.00,26.66
630.00,26.66
660.00,26.69
690.00,26.65
720.00,26.65
750.00,26.65
780.00,26.65
810.00,26.67
840.00,26.65
870.00,26.64
900.00,26.67
930.00,26.63
960.00,26.66
