Frequency (Hz)	Level (dB)
0.976562	-90.876747
1.953125	-90.915863
2.929688	-90.697449
3.906250	-90.885345
4.882812	-90.844765
5.859375	-90.816719
6.835938	-89.622849
7.812500	-89.774406
8.789062	-90.226524
9.765625	-89.406403
10.742188	-88.725906
11.718750	-88.673485
12.695312	-88.531090
13.671875	-89.412216
14.648438	-88.347252
15.625000	-88.085236
16.601562	-88.136337
17.578125	-87.028008
18.554688	-87.318565
19.531250	-86.174126
20.507812	-86.306961
21.484375	-85.417122
22.460938	-84.650642
23.437500	-83.414131
24.414062	-83.217155
25.390625	-85.288620
26.367188	-84.077698
27.343750	-81.844604
28.320312	-80.880684
29.296875	-82.632042
30.273438	-81.943924
31.250000	-82.616302
32.226562	-83.283401
33.203125	-82.136749
34.179688	-82.275223
35.156250	-81.734779
36.132812	-81.716217
37.109375	-82.178970
38.085938	-82.260742
39.062500	-81.951317
40.039062	-80.513199
41.015625	-80.303612
41.992188	-80.123764
42.968750	-79.778938
43.945312	-80.902916
44.921875	-80.003098
45.898438	-79.121872
46.875000	-79.332344
47.851562	-78.845016
48.828125	-79.433762
49.804688	-79.522476
50.781250	-78.227158
51.757812	-79.459808
52.734375	-79.839722
53.710938	-77.999535
54.687500	-77.326859
55.664062	-79.485207
56.640625	-77.808159
57.617188	-78.109589
58.593750	-78.394646
59.570312	-77.264435
60.546875	-77.983147
61.523438	-78.213943
62.500000	-78.581451
63.476562	-77.620789
64.453125	-78.822861
65.429688	-76.644302
66.406250	-76.794868
67.382812	-77.193352
68.359375	-78.457962
69.335938	-76.545174
70.312500	-77.775787
71.289062	-77.709961
72.265625	-77.361671
73.242188	-76.390739
74.218750	-76.344238
75.195312	-76.558784
76.171875	-77.594894
77.148438	-75.315529
78.125000	-74.699539
79.101562	-77.122360
80.078125	-76.457260
81.054688	-78.159775
82.031250	-76.443718
83.007812	-76.000450
83.984375	-74.894028
84.960938	-75.487282
85.937500	-75.153030
86.914062	-75.220398
87.890625	-74.935234
88.867188	-75.393791
89.843750	-76.466263
90.820312	-77.517250
91.796875	-74.360809
92.773438	-74.716522
93.750000	-74.594795
94.726562	-76.156975
95.703125	-75.727112
96.679688	-74.613411
97.656250	-76.119827
98.632812	-76.061722
99.609375	-76.537628
100.585938	-76.118690
101.562500	-75.030075
102.539062	-74.947685
103.515625	-75.098106
104.492188	-76.257622
105.468750	-75.509087
106.445312	-75.543083
107.421875	-76.827515
108.398438	-76.171074
109.375000	-74.718430
110.351562	-75.141220
111.328125	-75.353226
112.304688	-76.349304
113.281250	-75.664368
114.257812	-75.860413
115.234375	-75.023468
116.210938	-74.550980
117.187500	-74.859055
118.164062	-71.000847
119.140625	-67.113655
120.117188	-72.708450
121.093750	-75.698822
122.070312	-74.367241
123.046875	-74.983772
124.023438	-75.865509
125.000000	-75.711456
125.976562	-76.767677
126.953125	-75.955162
127.929688	-76.059586
128.906250	-74.732307
129.882812	-75.214096
130.859375	-75.595757
131.835938	-75.977722
132.812500	-75.348160
133.789062	-74.917206
134.765625	-75.743828
135.742188	-74.827278
136.718750	-75.862747
137.695312	-75.741379
138.671875	-75.603561
139.648438	-75.468781
140.625000	-74.412613
141.601562	-75.107544
142.578125	-75.319038
143.554688	-75.338028
144.531250	-74.893578
145.507812	-75.016342
146.484375	-74.697632
147.460938	-76.141212
148.437500	-74.803696
149.414062	-73.628075
150.390625	-74.886803
151.367188	-76.969521
152.343750	-74.791969
153.320312	-75.567482
154.296875	-74.669891
155.273438	-73.721153
156.250000	-74.022026
157.226562	-76.404541
158.203125	-75.425201
159.179688	-75.261032
160.156250	-73.916893
161.132812	-76.213966
162.109375	-73.589363
163.085938	-75.021309
164.062500	-74.182877
165.039062	-74.162827
166.015625	-73.168655
166.992188	-72.740921
167.968750	-74.026291
168.945312	-76.097588
169.921875	-73.412331
170.898438	-73.545097
171.875000	-74.341934
172.851562	-73.479439
173.828125	-73.971390
174.804688	-74.300980
175.781250	-73.491234
176.757812	-73.468269
177.734375	-73.542290
178.710938	-73.447830
179.687500	-73.036919
180.664062	-72.682800
181.640625	-73.807808
182.617188	-73.198219
183.593750	-73.042198
184.570312	-72.601501
185.546875	-72.771912
186.523438	-73.138069
187.500000	-73.764771
188.476562	-72.557617
189.453125	-72.566795
190.429688	-72.215187
191.406250	-72.469345
192.382812	-70.588951
193.359375	-72.578270
194.335938	-70.405624
195.312500	-70.234055
196.289062	-72.740189
197.265625	-72.494858
198.242188	-71.803589
199.218750	-71.664467
200.195312	-70.952980
201.171875	-70.433052
202.148438	-69.843529
203.125000	-70.850327
204.101562	-70.329498
205.078125	-71.179947
206.054688	-70.220787
207.031250	-70.026451
208.007812	-70.480278
208.984375	-70.314079
209.960938	-69.704552
210.937500	-69.678123
211.914062	-68.679581
212.890625	-69.057968
213.867188	-67.735588
214.843750	-69.127281
215.820312	-68.236778
