Frequency (Hz)	Level (dB)
0.976562	-89.309250
1.953125	-89.328720
2.929688	-89.222046
3.906250	-88.896652
4.882812	-89.011093
5.859375	-88.726158
6.835938	-88.978729
7.812500	-89.125740
8.789062	-88.273331
9.765625	-88.277100
10.742188	-87.379028
11.718750	-86.840729
12.695312	-86.977798
13.671875	-86.997879
14.648438	-86.709351
15.625000	-86.315109
16.601562	-86.110306
17.578125	-86.251175
18.554688	-85.354042
19.531250	-84.735268
20.507812	-84.990662
21.484375	-84.323502
22.460938	-82.806335
23.437500	-83.782440
24.414062	-81.638901
25.390625	-82.331459
26.367188	-82.173500
27.343750	-81.979172
28.320312	-80.172882
29.296875	-81.046753
30.273438	-81.067192
31.250000	-81.408279
32.226562	-81.430763
33.203125	-80.143936
34.179688	-80.308319
35.156250	-79.194580
36.132812	-79.938301
37.109375	-80.631348
38.085938	-80.480850
39.062500	-80.570023
40.039062	-79.025917
41.015625	-79.692017
41.992188	-78.757950
42.968750	-77.730309
43.945312	-78.670273
44.921875	-78.184273
45.898438	-78.575493
46.875000	-78.601807
47.851562	-78.176506
48.828125	-77.935020
49.804688	-77.822067
50.781250	-76.800461
51.757812	-77.781563
52.734375	-77.272362
53.710938	-77.068283
54.687500	-77.134003
55.664062	-77.350136
56.640625	-76.835213
57.617188	-75.968781
58.593750	-76.786507
59.570312	-75.507668
60.546875	-76.750664
61.523438	-76.564995
62.500000	-77.397270
63.476562	-76.305077
64.453125	-76.933037
65.429688	-76.836739
66.406250	-75.039787
67.382812	-76.332558
68.359375	-76.515396
69.335938	-75.046013
70.312500	-76.446167
71.289062	-76.913651
72.265625	-76.719193
73.242188	-74.931633
74.218750	-74.625946
75.195312	-74.545914
76.171875	-75.578560
77.148438	-74.211906
78.125000	-73.262131
79.101562	-76.087181
80.078125	-76.058197
81.054688	-76.544769
82.031250	-75.366661
83.007812	-74.092697
83.984375	-72.522812
84.960938	-72.957169
85.937500	-74.098152
86.914062	-73.948326
87.890625	-73.461037
88.867188	-73.318718
89.843750	-75.046555
90.820312	-74.988670
91.796875	-72.757469
92.773438	-73.379242
93.750000	-73.430061
94.726562	-75.208794
95.703125	-75.094872
96.679688	-73.567673
97.656250	-74.819595
98.632812	-75.097923
99.609375	-74.923584
100.585938	-75.310295
101.562500	-74.212723
102.539062	-73.856369
103.515625	-73.463493
104.492188	-74.952881
105.468750	-74.579750
106.445312	-74.868134
107.421875	-75.488655
108.398438	-75.013985
109.375000	-73.046661
110.351562	-73.861221
111.328125	-75.162704
112.304688	-75.549324
113.281250	-74.131088
114.257812	-74.856346
115.234375	-73.932983
116.210938	-73.150627
117.187500	-72.356674
118.164062	-67.663078
119.140625	-65.321732
120.117188	-71.571999
121.093750	-74.214455
122.070312	-73.039085
123.046875	-73.974724
124.023438	-75.072952
125.000000	-74.099739
125.976562	-75.192673
126.953125	-74.710686
127.929688	-75.076714
128.906250	-73.226128
129.882812	-73.416115
130.859375	-74.612320
131.835938	-74.601257
132.812500	-74.062134
133.789062	-73.359489
134.765625	-74.650574
135.742188	-72.893044
136.718750	-74.451248
137.695312	-74.733063
138.671875	-74.005783
139.648438	-73.865593
140.625000	-72.920074
141.601562	-73.354454
142.578125	-73.419159
143.554688	-73.901978
144.531250	-73.536819
145.507812	-73.440720
146.484375	-73.785294
147.460938	-74.927467
148.437500	-73.253693
149.414062	-72.196777
150.390625	-73.285172
151.367188	-75.085037
152.343750	-72.850128
153.320312	-74.040512
154.296875	-73.389771
155.273438	-72.231461
156.250000	-72.225052
157.226562	-74.849174
158.203125	-73.468307
159.179688	-73.132706
160.156250	-72.241493
161.132812	-73.950050
162.109375	-71.400574
163.085938	-72.881592
164.062500	-72.241432
165.039062	-72.316307
166.015625	-71.304085
166.992188	-70.878952
167.968750	-72.170723
168.945312	-74.319389
169.921875	-71.389015
170.898438	-71.457634
171.875000	-72.336319
172.851562	-71.374443
173.828125	-71.661507
174.804688	-71.847778
175.781250	-71.289490
176.757812	-71.637039
177.734375	-71.334671
178.710938	-71.386047
179.687500	-70.540970
180.664062	-70.276398
181.640625	-71.951042
182.617188	-71.076546
183.593750	-70.874184
184.570312	-70.282074
185.546875	-70.472641
186.523438	-70.794838
187.500000	-71.173332
188.476562	-70.116600
189.453125	-69.950478
190.429688	-69.580673
191.406250	-69.731873
192.382812	-67.762566
193.359375	-69.790314
194.335938	-67.564247
195.312500	-67.425156
196.289062	-69.891975
197.265625	-69.702072
198.242188	-68.646362
199.218750	-68.338791
200.195312	-67.838005
201.171875	-67.022774
202.148438	-66.695633
203.125000	-67.670929
204.101562	-67.014832
205.078125	-67.936882
206.054688	-66.797714
207.031250	-66.504227
208.007812	-66.691246
208.984375	-66.655235
209.960938	-66.016434
210.937500	-65.794128
211.914062	-65.006241
212.890625	-65.103973
213.867188	-63.992920
214.843750	-65.270744
215.820312	-64.399208
216.796875	-63.940697
217.773438	-64.180595
218.750000	-65.559135
219.726562	-64.130096
220.703125	-63.532341
221.679688	-63.610973
222.656250	-64.190369
223.632812	-62.882687
224.609375	-62.757515
225.585938	-62.827915
226.562500	-63.097584
227.539062	-62.409004
228.515625	-62.864376
229.492188	-61.271530
230.468750	-61.358330
231.445312	-60.682564
232.421875	-60.270416
233.398438	-59.411491
234.375000	-59.228764
235.351562	-60.752827
236.328125	-60.136417
237.304688	-59.234661
238.281250	-60.528423
239.257812	-59.076759
240.234375	-58.375145
241.210938	-57.493111
242.187500	-57.365383
243.164062	-58.102726
244.140625	-56.557320
245.117188	-56.545467
246.093750	-56.904121
247.070312	-56.707226
248.046875	-57.092690
249.023438	-56.397427
250.000000	-55.722988
250.976562	-57.018272
251.953125	-56.444824
252.929688	-56.202271
253.906250	-56.024323
254.882812	-55.711861
255.859375	-55.818111
256.835938	-58.184387
257.812500	-56.873638
258.789062	-57.897457
259.765625	-59.417744
260.742188	-59.188599
261.718750	-58.573200
262.695312	-58.797523
263.671875	-59.802898
264.648438	-60.273373
265.625000	-59.347416
266.601562	-60.404984
267.578125	-59.715668
268.554688	-59.240997
269.531250	-61.435291
270.507812	-60.802994
271.484375	-62.244328
272.460938	-61.409779
273.437500	-62.801945
274.414062	-62.889797
275.390625	-61.829197
276.367188	-61.859055
277.343750	-61.621784
278.320312	-63.506313
279.296875	-64.767754
280.273438	-64.236771
281.250000	-64.187210
282.226562	-63.546532
283.203125	-63.741222
284.179688	-65.178581
285.156250	-63.973400
286.132812	-63.835350
287.109375	-64.981339
288.085938	-63.536594
289.062500	-64.660439
290.039062	-65.191841
291.015625	-64.950241
291.992188	-65.099823
292.968750	-65.072998
293.945312	-65.075134
294.921875	-65.848709
295.898438	-66.648018
296.875000	-66.507751
297.851562	-67.442528
298.828125	-66.745514
299.804688	-66.525452
300.781250	-67.667175
301.757812	-67.379791
302.734375	-66.255356
303.710938	-67.467873
304.687500	-67.838615
305.664062	-67.348122
306.640625	-66.516876
307.617188	-67.712898
308.593750	-68.130531
309.570312	-66.275307
310.546875	-68.204979
311.523438	-68.531784
312.500000	-67.362808
313.476562	-67.923645
314.453125	-67.193924
315.429688	-67.585579
316.406250	-68.388138
317.382812	-67.797737
318.359375	-67.902313
319.335938	-69.264053
320.312500	-69.231331
321.289062	-69.322250
322.265625	-69.291252
323.242188	-69.080765
324.218750	-68.434509
325.195312	-69.530403
326.171875	-69.853668
327.148438	-68.984154
328.125000	-70.002533
329.101562	-67.703400
330.078125	-69.046394
331.054688	-68.538460
332.031250	-69.104523
333.007812	-69.293701
333.984375	-68.825974
334.960938	-69.073196
335.937500	-69.470863
336.914062	-69.618477
337.890625	-69.049606
338.867188	-69.927536
339.843750	-70.489143
340.820312	-69.632011
341.796875	-70.359993
342.773438	-69.831558
343.750000	-68.288429
344.726562	-69.972069
345.703125	-69.882721
346.679688	-69.764435
347.656250	-69.933533
348.632812	-69.546951
349.609375	-70.554665
350.585938	-71.054359
351.562500	-68.582436
352.539062	-69.359787
353.515625	-69.013191
354.492188	-68.878654
355.468750	-68.925232
356.445312	-69.944077
357.421875	-70.467026
358.398438	-71.945900
359.375000	-69.760582
360.351562	-70.140305
361.328125	-70.736610
362.304688	-70.151672
363.281250	-69.677452
364.257812	-69.828239
365.234375	-70.494476
366.210938	-71.588371
367.187500	-70.186073
368.164062	-71.166519
369.140625	-69.259750
370.117188	-69.945740
371.093750	-70.172600
372.070312	-70.029770
373.046875	-69.552536
374.023438	-69.526840
375.000000	-69.555237
375.976562	-70.007591
376.953125	-70.149574
377.929688	-70.026154
378.906250	-69.702888
379.882812	-69.405716
380.859375	-70.324425
381.835938	-70.084427
382.812500	-69.279778
383.789062	-70.343391
384.765625	-69.645615
385.742188	-70.396294
386.718750	-69.846451
387.695312	-70.525093
388.671875	-69.750946
389.648438	-68.749092
390.625000	-68.656677
391.601562	-70.572906
392.578125	-70.497047
393.554688	-69.137077
394.531250	-70.463943
395.507812	-69.467087
396.484375	-68.885834
397.460938	-70.079857
398.437500	-69.593941
399.414062	-68.772583
400.390625	-69.925323
401.367188	-69.297928
402.343750	-69.688232
403.320312	-67.728073
404.296875	-67.827934
405.273438	-70.865067
406.250000	-69.861778
407.226562	-69.089790
408.203125	-69.192703
409.179688	-69.463600
410.156250	-69.810539
411.132812	-69.321281
412.109375	-69.108826
413.085938	-67.968742
414.062500	-69.354843
415.039062	-69.157150
416.015625	-68.349213
416.992188	-68.289009
417.968750	-69.527328
418.945312	-68.529495
419.921875	-69.616783
420.898438	-67.751503
421.875000	-68.209610
422.851562	-68.191338
423.828125	-68.711212
424.804688	-66.899284
425.781250	-67.265091
426.757812	-68.030785
427.734375	-68.722710
428.710938	-68.739113
429.687500	-68.219742
430.664062	-67.680511
431.640625	-65.897331
432.617188	-67.721375
433.593750	-68.048714
434.570312	-68.231438
435.546875	-67.373962
436.523438	-67.809464
437.500000	-65.279907
438.476562	-66.967361
439.453125	-66.778877
440.429688	-67.803215
441.406250	-66.973259
442.382812	-66.856544
443.359375	-66.683701
444.335938	-66.839272
445.312500	-66.897629
446.289062	-66.900894
447.265625	-65.412827
448.242188	-66.557762
449.218750	-65.019081
450.195312	-66.955017
451.171875	-65.882530
452.148438	-66.418587
453.125000	-66.958839
454.101562	-65.813431
455.078125	-65.257973
456.054688	-65.406570
457.031250	-65.852531
458.007812	-65.512131
458.984375	-65.258934
459.960938	-64.965340
460.937500	-64.082939
461.914062	-64.959351
462.890625	-64.538544
463.867188	-64.696640
464.843750	-64.802719
465.820312	-64.425926
466.796875	-63.438305
467.773438	-63.949993
468.750000	-63.634087
469.726562	-62.590641
470.703125	-62.808159
471.679688	-64.066490
472.656250	-62.958591
473.632812	-63.567966
474.609375	-63.820831
475.585938	-64.114960
476.562500	-62.740463
477.539062	-62.770145
478.515625	-62.533634
479.492188	-63.426525
480.468750	-62.061275
481.445312	-61.440418
482.421875	-62.623917
483.398438	-61.128380
484.375000	-61.320774
485.351562	-61.307457
486.328125	-61.284298
487.304688	-61.126858
488.281250	-61.879543
489.257812	-59.040485
490.234375	-59.150848
491.210938	-60.108994
492.187500	-61.635029
493.164062	-58.185337
494.140625	-59.309631
495.117188	-59.259792
496.093750	-58.359367
497.070312	-59.938339
498.046875	-59.221882
499.023438	-58.811783
500.000000	-59.449505
500.976562	-57.368263
501.953125	-57.006317
502.929688	-58.481472
503.906250	-58.460411
504.882812	-57.902515
505.859375	-57.258671
506.835938	-56.643181
507.812500	-56.146744
508.789062	-58.072151
509.765625	-57.886791
510.742188	-56.173298
511.718750	-57.023941
512.695312	-56.557373
513.671875	-57.306984
514.648438	-57.266708
515.625000	-56.705017
516.601562	-57.034454
517.578125	-58.184566
518.554688	-56.574512
519.531250	-57.963360
520.507812	-58.069698
521.484375	-57.876701
522.460938	-57.794998
523.437500	-58.070293
524.414062	-59.140076
525.390625	-59.316307
526.367188	-59.050877
527.343750	-59.736607
