Frequency (Hz)	Level (dB)
0.976562	-98.186249
1.953125	-97.762138
2.929688	-97.832184
3.906250	-95.478706
4.882812	-97.902016
5.859375	-94.947266
6.835938	-95.010262
7.812500	-94.917786
8.789062	-94.778984
9.765625	-94.047432
10.742188	-92.395561
11.718750	-91.326241
12.695312	-92.005806
13.671875	-91.440277
14.648438	-91.925285
15.625000	-90.190407
16.601562	-89.560234
17.578125	-88.827553
18.554688	-88.639122
19.531250	-88.492439
20.507812	-88.668045
21.484375	-87.213768
22.460938	-84.992355
23.437500	-85.162155
24.414062	-83.870270
25.390625	-84.890854
26.367188	-83.878174
27.343750	-82.440201
28.320312	-82.908104
29.296875	-82.864037
30.273438	-81.739090
31.250000	-82.227806
32.226562	-82.367233
33.203125	-81.584274
34.179688	-81.812492
35.156250	-80.335403
36.132812	-82.170143
37.109375	-81.706169
38.085938	-82.202675
39.062500	-81.914169
40.039062	-81.026932
41.015625	-80.937798
41.992188	-80.374947
42.968750	-79.390617
43.945312	-79.881599
44.921875	-78.310684
45.898438	-78.402908
46.875000	-79.025009
47.851562	-78.372192
48.828125	-78.527878
49.804688	-79.294296
50.781250	-77.814270
51.757812	-79.135757
52.734375	-79.037468
53.710938	-77.189674
54.687500	-77.613754
55.664062	-77.768639
56.640625	-77.559029
57.617188	-77.666679
58.593750	-77.348907
59.570312	-76.344559
60.546875	-78.629723
61.523438	-78.202255
62.500000	-77.773247
63.476562	-77.092171
64.453125	-77.921623
65.429688	-76.768265
66.406250	-76.817665
67.382812	-77.567734
68.359375	-78.768646
69.335938	-76.667229
70.312500	-78.059296
71.289062	-78.135117
72.265625	-77.670593
73.242188	-76.539589
74.218750	-76.068733
75.195312	-76.431381
76.171875	-78.329041
77.148438	-76.589935
78.125000	-76.218765
79.101562	-78.205925
80.078125	-77.485977
81.054688	-78.788452
82.031250	-77.190491
83.007812	-77.111511
83.984375	-76.816849
84.960938	-77.236191
85.937500	-77.976295
86.914062	-76.400787
87.890625	-77.025070
88.867188	-77.666542
89.843750	-78.016426
90.820312	-78.547279
91.796875	-77.864151
92.773438	-77.123848
93.750000	-77.495995
94.726562	-78.004242
95.703125	-77.726608
96.679688	-76.604141
97.656250	-78.049469
98.632812	-77.723831
99.609375	-78.314407
100.585938	-77.729553
101.562500	-76.833611
102.539062	-76.627197
103.515625	-76.162598
104.492188	-77.965378
105.468750	-77.418121
106.445312	-77.820976
107.421875	-78.515846
108.398438	-78.016342
109.375000	-76.404785
110.351562	-76.680496
111.328125	-77.952187
112.304688	-78.854614
113.281250	-78.240952
114.257812	-78.120003
115.234375	-77.972069
116.210938	-77.886459
117.187500	-77.800453
118.164062	-78.271164
119.140625	-77.691216
120.117188	-78.153763
121.093750	-78.733192
122.070312	-77.759369
123.046875	-77.792160
124.023438	-78.373932
125.000000	-78.254852
125.976562	-79.068283
126.953125	-78.334084
127.929688	-79.212410
128.906250	-77.457588
129.882812	-77.719177
130.859375	-78.522926
131.835938	-78.890350
132.812500	-78.111023
133.789062	-77.701492
134.765625	-78.970985
135.742188	-77.845917
136.718750	-79.437378
137.695312	-79.386230
138.671875	-78.714790
