Frequency (Hz)	Level (dB)
0.976562	-90.338242
1.953125	-90.399261
2.929688	-90.219772
3.906250	-90.348267
4.882812	-90.207420
5.859375	-89.802841
6.835938	-89.880882
7.812500	-89.744896
8.789062	-89.362793
9.765625	-89.630226
10.742188	-88.057846
11.718750	-88.372757
12.695312	-88.368073
13.671875	-88.319115
14.648438	-88.816940
15.625000	-88.436569
16.601562	-87.974159
17.578125	-86.719337
18.554688	-88.660011
19.531250	-86.384392
20.507812	-86.335770
21.484375	-86.052353
22.460938	-85.554863
23.437500	-84.878616
24.414062	-84.514236
25.390625	-84.851433
26.367188	-84.244133
27.343750	-83.945564
28.320312	-82.029167
29.296875	-82.956207
30.273438	-82.736160
31.250000	-83.580536
32.226562	-83.590439
33.203125	-83.058311
34.179688	-83.253830
35.156250	-82.489563
36.132812	-82.469254
37.109375	-82.625458
38.085938	-82.659142
39.062500	-82.764465
40.039062	-80.323387
41.015625	-81.649933
41.992188	-81.069443
42.968750	-80.469421
43.945312	-81.105286
44.921875	-80.081131
45.898438	-79.636375
46.875000	-80.882500
47.851562	-79.749634
48.828125	-79.382370
49.804688	-80.305710
50.781250	-79.590965
51.757812	-80.466835
52.734375	-80.518311
53.710938	-78.893448
54.687500	-78.486732
55.664062	-79.021576
56.640625	-78.329254
57.617188	-79.517548
58.593750	-79.309402
59.570312	-78.115097
60.546875	-78.611153
61.523438	-78.911865
62.500000	-79.114479
63.476562	-78.654640
64.453125	-79.364029
65.429688	-78.349144
66.406250	-77.830399
67.382812	-77.809547
68.359375	-79.302895
69.335938	-77.152687
70.312500	-78.514442
71.289062	-79.108421
72.265625	-78.978966
73.242188	-78.244438
74.218750	-76.602325
75.195312	-76.761948
76.171875	-76.919777
77.148438	-76.722527
78.125000	-75.677879
79.101562	-77.493172
80.078125	-77.891769
81.054688	-78.270020
82.031250	-76.508492
83.007812	-76.578568
83.984375	-75.127029
84.960938	-76.256958
85.937500	-76.008812
86.914062	-75.894073
87.890625	-75.823128
88.867188	-76.141830
89.843750	-77.628288
90.820312	-77.021271
91.796875	-75.395218
92.773438	-75.926552
93.750000	-76.027809
94.726562	-77.410912
95.703125	-77.266113
96.679688	-75.838882
97.656250	-76.734451
98.632812	-77.627060
99.609375	-77.386711
100.585938	-77.338089
101.562500	-76.259766
102.539062	-75.911446
103.515625	-75.690079
104.492188	-77.054344
105.468750	-76.054962
106.445312	-76.412025
107.421875	-77.315590
108.398438	-77.439163
109.375000	-75.475983
110.351562	-75.958641
111.328125	-76.600388
112.304688	-77.395836
113.281250	-76.756966
114.257812	-76.955124
115.234375	-76.218697
116.210938	-76.130089
117.187500	-75.276718
118.164062	-71.501656
