Frequency (Hz)	Level (dB)
0.976562	-75.849876
1.953125	-75.549271
2.929688	-76.535538
3.906250	-75.781250
4.882812	-76.389496
5.859375	-76.714760
6.835938	-75.881706
7.812500	-76.168709
8.789062	-75.471313
9.765625	-74.753952
10.742188	-74.730194
11.718750	-74.117157
12.695312	-74.030136
13.671875	-74.480934
14.648438	-73.723358
15.625000	-73.363426
16.601562	-72.840912
17.578125	-72.646774
18.554688	-73.349449
19.531250	-72.951790
20.507812	-73.160141
21.484375	-73.188683
22.460938	-72.167603
23.437500	-72.172447
24.414062	-71.717468
25.390625	-73.103828
26.367188	-72.261398
27.343750	-70.365097
28.320312	-70.561493
29.296875	-71.155190
30.273438	-70.482391
31.250000	-70.946228
32.226562	-70.930771
33.203125	-71.191605
34.179688	-70.727348
35.156250	-70.249992
36.132812	-70.611786
37.109375	-70.850067
38.085938	-69.847061
39.062500	-69.225403
40.039062	-69.462921
41.015625	-70.534828
41.992188	-69.669540
42.968750	-70.237175
43.945312	-70.872398
44.921875	-70.129311
45.898438	-69.164337
46.875000	-69.113823
47.851562	-69.315941
48.828125	-69.660004
49.804688	-69.175018
50.781250	-68.902679
51.757812	-68.507645
52.734375	-69.188583
53.710938	-67.616859
54.687500	-68.771965
55.664062	-68.964882
56.640625	-68.768509
57.617188	-68.180687
58.593750	-67.188072
59.570312	-66.451523
60.546875	-67.811043
61.523438	-68.005028
62.500000	-69.181259
63.476562	-68.847374
64.453125	-68.528725
65.429688	-67.405190
66.406250	-68.168968
67.382812	-69.488297
68.359375	-67.593163
69.335938	-67.923470
70.312500	-67.143730
71.289062	-67.319496
72.265625	-67.109726
73.242188	-67.688042
74.218750	-66.111580
75.195312	-66.298241
76.171875	-65.988113
77.148438	-66.955879
78.125000	-65.347679
79.101562	-66.488319
80.078125	-65.487854
81.054688	-65.527229
82.031250	-64.806145
83.007812	-64.659401
83.984375	-63.277534
84.960938	-64.254036
85.937500	-65.226112
86.914062	-63.834599
87.890625	-64.761803
88.867188	-63.248169
89.843750	-65.260567
90.820312	-65.798950
91.796875	-61.233761
92.773438	-63.227261
93.750000	-61.142704
94.726562	-64.579079
95.703125	-64.857864
96.679688	-65.144508
97.656250	-65.456017
98.632812	-65.951721
99.609375	-63.623917
100.585938	-64.717575
101.562500	-64.723267
102.539062	-62.947792
103.515625	-63.037289
104.492188	-63.815880
105.468750	-62.801811
106.445312	-63.234871
107.421875	-62.448837
108.398438	-62.690716
109.375000	-60.410099
110.351562	-60.523827
111.328125	-61.154430
112.304688	-60.474857
113.281250	-60.068512
114.257812	-59.768459
115.234375	-57.741707
116.210938	-55.982658
117.187500	-53.809490
118.164062	-45.647713
119.140625	-44.134075
120.117188	-50.721638
121.093750	-57.089245
122.070312	-54.952694
123.046875	-54.897511
124.023438	-55.969280
125.000000	-55.624500
125.976562	-55.900856
126.953125	-55.011833
127.929688	-55.441967
128.906250	-54.698250
129.882812	-55.002743
130.859375	-56.002533
131.835938	-56.025021
132.812500	-57.046650
133.789062	-57.668182
134.765625	-59.305275
135.742188	-57.911880
136.718750	-59.215263
137.695312	-59.857040
138.671875	-60.154228
139.648438	-60.435425
140.625000	-59.315788
141.601562	-60.650269
142.578125	-62.026588
143.554688	-62.079433
144.531250	-60.808750
145.507812	-61.443295
146.484375	-62.125862
147.460938	-62.480305
148.437500	-62.014088
149.414062	-61.309357
150.390625	-64.007729
151.367188	-62.701351
152.343750	-63.022877
153.320312	-63.562817
154.296875	-63.572884
155.273438	-63.701523
156.250000	-63.784275
157.226562	-64.213074
158.203125	-62.677944
159.179688	-63.089283
160.156250	-65.489395
161.132812	-63.882980
162.109375	-63.652206
163.085938	-64.567528
164.062500	-64.571289
165.039062	-64.559074
166.015625	-63.476894
166.992188	-62.995487
167.968750	-64.291130
168.945312	-63.926842
169.921875	-64.870605
170.898438	-64.444328
171.875000	-65.166779
172.851562	-65.204544
173.828125	-64.265907
174.804688	-64.544846
175.781250	-64.224457
176.757812	-64.296288
177.734375	-63.566456
178.710938	-66.420952
179.687500	-65.028114
180.664062	-63.870544
181.640625	-65.712868
182.617188	-63.853516
183.593750	-66.022423
184.570312	-64.525055
185.546875	-64.839790
186.523438	-65.364212
187.500000	-64.834572
188.476562	-64.425247
189.453125	-64.157112
190.429688	-64.419861
191.406250	-65.715866
192.382812	-65.019432
193.359375	-65.409691
194.335938	-64.894760
195.312500	-64.459709
196.289062	-65.612862
197.265625	-64.550285
198.242188	-63.593636
199.218750	-65.232330
200.195312	-65.195488
201.171875	-65.589607
202.148438	-64.198112
203.125000	-63.490788
204.101562	-64.577393
205.078125	-64.952278
206.054688	-64.167679
207.031250	-63.457153
208.007812	-65.015633
208.984375	-65.247841
209.960938	-64.475792
210.937500	-64.084770
211.914062	-64.078468
212.890625	-65.072388
213.867188	-62.779495
214.843750	-63.484787
215.820312	-63.762001
216.796875	-63.151020
217.773438	-64.169319
218.750000	-63.915222
219.726562	-64.148193
220.703125	-64.370621
221.679688	-62.939407
222.656250	-63.303829
223.632812	-63.071854
224.609375	-62.124245
225.585938	-63.663391
226.562500	-63.023548
227.539062	-62.646179
228.515625	-62.827961
229.492188	-63.364372
230.468750	-63.066223
231.445312	-62.596989
232.421875	-61.830559
233.398438	-62.148468
234.375000	-61.635197
235.351562	-62.327614
236.328125	-61.879894
237.304688	-62.001442
238.281250	-61.755589
239.257812	-62.325619
240.234375	-61.162449
241.210938	-59.359695
242.187500	-60.347588
243.164062	-61.106709
244.140625	-59.482899
245.117188	-58.924767
246.093750	-59.627789
247.070312	-59.203373
248.046875	-58.367496
249.023438	-57.992279
250.000000	-57.930157
250.976562	-59.160412
251.953125	-56.900318
252.929688	-56.209305
253.906250	-56.060261
254.882812	-55.266933
255.859375	-55.602173
256.835938	-56.454765
257.812500	-55.094517
258.789062	-55.838303
259.765625	-56.683895
260.742188	-56.821236
261.718750	-56.643589
