Frequency (Hz)	Level (dB)
0.976562	-90.107178
1.953125	-89.994431
2.929688	-90.184723
3.906250	-89.890823
4.882812	-90.014633
5.859375	-89.822685
6.835938	-89.290726
7.812500	-89.867096
8.789062	-89.433441
9.765625	-89.114578
10.742188	-87.529228
11.718750	-87.005135
12.695312	-87.561638
13.671875	-87.308754
14.648438	-88.016190
15.625000	-87.568100
16.601562	-87.254860
17.578125	-86.079353
18.554688	-87.154922
19.531250	-86.554604
20.507812	-85.924210
21.484375	-85.768906
22.460938	-84.992439
23.437500	-84.326408
24.414062	-84.207115
25.390625	-84.007111
26.367188	-82.515648
27.343750	-83.326225
28.320312	-80.646217
29.296875	-82.903008
30.273438	-81.952515
31.250000	-82.835747
32.226562	-82.768219
33.203125	-81.663528
34.179688	-82.563248
35.156250	-81.387772
36.132812	-81.530426
37.109375	-82.137802
38.085938	-82.669884
39.062500	-80.897118
40.039062	-80.303963
41.015625	-80.308754
41.992188	-80.218391
42.968750	-79.664719
43.945312	-81.221924
44.921875	-79.887459
45.898438	-79.593086
46.875000	-79.974884
47.851562	-79.252228
48.828125	-79.653145
49.804688	-79.435074
50.781250	-78.190720
51.757812	-79.592255
52.734375	-79.773643
53.710938	-77.876442
54.687500	-78.312515
55.664062	-78.759781
56.640625	-77.841942
57.617188	-77.065163
58.593750	-77.617935
59.570312	-77.120827
60.546875	-78.409431
61.523438	-78.392593
62.500000	-77.964729
63.476562	-78.004333
64.453125	-77.820969
65.429688	-77.362183
66.406250	-77.228767
67.382812	-77.298653
68.359375	-78.691566
69.335938	-76.804169
70.312500	-78.037781
71.289062	-77.681618
72.265625	-77.638947
73.242188	-76.711296
74.218750	-76.825760
75.195312	-75.979446
76.171875	-76.872055
77.148438	-75.735962
78.125000	-74.843521
79.101562	-76.679245
80.078125	-76.378525
81.054688	-78.273666
82.031250	-76.107018
83.007812	-75.207954
83.984375	-74.848732
84.960938	-76.146210
85.937500	-76.177139
86.914062	-75.267944
87.890625	-75.073532
88.867188	-75.406311
89.843750	-76.595940
90.820312	-76.964523
91.796875	-75.298149
92.773438	-75.557304
93.750000	-74.612968
94.726562	-76.205254
95.703125	-76.013306
96.679688	-74.831757
97.656250	-76.479622
98.632812	-76.159470
99.609375	-76.120926
100.585938	-76.330360
101.562500	-75.039177
102.539062	-74.947304
103.515625	-74.941093
104.492188	-76.094627
105.468750	-75.443344
106.445312	-75.598541
107.421875	-76.584045
108.398438	-76.364944
109.375000	-74.965164
110.351562	-75.422676
111.328125	-75.943306
112.304688	-76.214058
113.281250	-75.668495
114.257812	-76.074402
115.234375	-75.376801
116.210938	-74.778961
117.187500	-74.731735
118.164062	-72.416840
119.140625	-68.163345
120.117188	-74.208031
121.093750	-75.980927
122.070312	-74.217545
123.046875	-75.499092
124.023438	-75.991470
125.000000	-75.538635
125.976562	-76.569992
126.953125	-75.990883
127.929688	-76.551338
128.906250	-74.961990
129.882812	-75.142410
130.859375	-75.795212
131.835938	-76.020882
132.812500	-75.194260
133.789062	-75.076302
134.765625	-75.756859
135.742188	-74.642952
136.718750	-75.842079
137.695312	-75.777908
138.671875	-75.669273
139.648438	-75.711151
140.625000	-74.709831
141.601562	-75.166298
142.578125	-75.477432
143.554688	-75.357613
144.531250	-75.141212
145.507812	-75.183319
146.484375	-74.997650
147.460938	-76.212517
148.437500	-74.748108
149.414062	-73.665840
150.390625	-74.885643
151.367188	-76.872337
152.343750	-74.839149
153.320312	-75.881790
154.296875	-74.647606
155.273438	-73.866646
156.250000	-74.066574
157.226562	-76.512627
158.203125	-75.289719
159.179688	-75.699150
160.156250	-74.032616
161.132812	-76.585350
162.109375	-73.604614
163.085938	-75.142693
164.062500	-74.217773
165.039062	-74.274834
166.015625	-73.566284
166.992188	-72.719170
167.968750	-74.058456
168.945312	-76.072884
169.921875	-73.844734
170.898438	-73.684059
171.875000	-74.393791
172.851562	-73.766815
173.828125	-74.013092
174.804688	-74.339790
175.781250	-73.490746
176.757812	-73.683609
177.734375	-73.910156
178.710938	-73.469269
179.687500	-72.962379
180.664062	-72.734009
181.640625	-74.284454
182.617188	-73.146118
183.593750	-73.255646
184.570312	-72.911385
185.546875	-72.969528
186.523438	-73.605530
187.500000	-74.141090
188.476562	-72.781784
189.453125	-72.719101
190.429688	-72.489250
191.406250	-72.829956
192.382812	-70.965843
193.359375	-72.659286
194.335938	-70.712730
195.312500	-70.621605
196.289062	-73.036354
197.265625	-72.792770
198.242188	-72.018127
199.218750	-71.929253
200.195312	-71.325897
201.171875	-70.806564
202.148438	-70.259644
203.125000	-71.127029
204.101562	-70.931854
205.078125	-71.329948
206.054688	-70.662804
207.031250	-70.509171
208.007812	-70.900078
208.984375	-70.612480
209.960938	-70.042946
210.937500	-70.281227
211.914062	-69.139961
212.890625	-69.453316
213.867188	-68.181427
214.843750	-69.635506
215.820312	-68.571182
216.796875	-68.281837
217.773438	-68.722382
218.750000	-69.960754
219.726562	-69.119385
220.703125	-68.600098
221.679688	-68.697357
222.656250	-69.357803
223.632812	-68.199646
224.609375	-68.222404
225.585938	-68.385818
226.562500	-68.668175
227.539062	-68.133232
228.515625	-68.726341
229.492188	-67.166306
230.468750	-67.231247
